clusterId,conceptName,requiredIngredient,identity,family,state,selectedProductId,quantity,unit,reason
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Салат Айсберг","Салат Айсберг","iceberg_lettuce_raw","EXACT_PRODUCT_ALREADY_RESOLVED","iceberg_lettuce_raw","400","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Куриное филе","Куриное филе","chicken_breast_raw","EXACT_PRODUCT_ALREADY_RESOLVED","chicken_breast_raw","280","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Помидоры черри","Помидоры черри","tomato_cherry_raw","EXACT_PRODUCT_ALREADY_RESOLVED","tomato_cherry_raw","10","SHT","accepted resolver supplied concrete product with nutrition authority"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Батон","Батон","wheat_bread","EXACT_PRODUCT_ALREADY_RESOLVED","wheat_bread","220","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Пармезан","Пармезан","parmesan_hard","EXACT_PRODUCT_ALREADY_RESOLVED","parmesan_hard","80","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Чеснок","Чеснок","garlic_raw","EXACT_PRODUCT_ALREADY_RESOLVED","garlic_raw","1","","accepted resolver supplied concrete product with nutrition authority"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Растительное масло","растительное масло","растительное масло","CANONICAL_FAMILY_DEFAULT_SELECTED","sunflower_oil","1","","owner synthesis default recipe-synthesis-product-policy/v2 selected exact accepted Product"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Оливковое масло","Оливковое масло","olive_oil","EXACT_PRODUCT_ALREADY_RESOLVED","olive_oil","60","ML","accepted resolver supplied concrete product with nutrition authority"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Пармезан","Пармезан","parmesan_hard","EXACT_PRODUCT_ALREADY_RESOLVED","parmesan_hard","20","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Яйца","яйца","яйца","SINGLE_COMPATIBLE_PRODUCT_SELECTED","step092_eggs","1","SHT","exactly one semantically compatible catalog product"
